Random Generator,bet,02-2015,04-2015,06-2015,08-2015,10-2015,12-2015,02-2016,04-2016,06-2016,08-2016,10-2016,12-2016,02-2017,04-2017,06-2017,08-2017,10-2017,12-2017,02-2018,04-2018,06-2018,08-2018,10-2018,12-2018,02-2019,04-2019,06-2019,08-2019,10-2019,12-2019
6503,0.171620244334918,0.4251012145748988,0.40408163265306124,0.46502057613168724,0.4672131147540984,0.4251012145748988,0.3373493975903614,0.2979591836734694,0.26859504132231404,0.22448979591836735,0.17670682730923695,0.1541501976284585,0.17131474103585656,0.14624505928853754,0.14741035856573706,0.108,0.09126984126984126,0.084,0.09055118110236221,0.08366533864541832,0.07936507936507936,0.06374501992031872,0.06349206349206349,0.04780876494023904,0.03968253968253968,0.03543307086614173,0.031746031746031744,0.01984126984126984,0.011904761904761904,0.007874015748031496,0.007936507936507936
9177,0.11107533707399901,0.22033898305084745,0.19827586206896552,0.19047619047619047,0.20085470085470086,0.2264957264957265,0.2629310344827586,0.24568965517241378,0.22707423580786026,0.21367521367521367,0.1487603305785124,0.14979757085020243,0.1553784860557769,0.13114754098360656,0.10121457489878542,0.08064516129032258,0.07630522088353414,0.07058823529411765,0.047244094488188976,0.04743083003952569,0.04330708661417323,0.03557312252964427,0.03225806451612903,0.024,0.02734375,0.023715415019762844,0.015873015873015872,0.01171875,0.011857707509881422,0.008130081300813009,0.004132231404958678
8913,0.165823722054483,0.49173553719008267,0.5145228215767634,0.48333333333333334,0.43983402489626555,0.42323651452282157,0.4190871369294606,0.3416666666666667,0.2719665271966527,0.19747899159663865,0.18067226890756302,0.17355371900826447,0.18072289156626506,0.1606425702811245,0.156,0.164,0.12350597609561753,0.088,0.099601593625498,0.09615384615384616,0.09375,0.08267716535433071,0.09090909090909091,0.08032128514056225,0.084,0.076,0.06640625,0.054901960784313725,0.042801556420233464,0.03488372093023256,0.03137254901960784
761,0.145873395469971,0.37401574803149606,0.35797665369649806,0.30039525691699603,0.312,0.264,0.27419354838709675,0.2701612903225806,0.21686746987951808,0.17857142857142858,0.1969111969111969,0.16923076923076924,0.1796875,0.17120622568093385,0.13953488372093023,0.11787072243346007,0.11524163568773234,0.10902255639097744,0.11235955056179775,0.09854014598540146,0.08363636363636363,0.06382978723404255,0.04659498207885305,0.03985507246376811,0.04428044280442804,0.045112781954887216,0.02962962962962963,0.022388059701492536,0.022641509433962263,0.03745318352059925,0.041353383458646614
5257,0.0984171965916175,0.27848101265822783,0.31092436974789917,0.32340425531914896,0.2838983050847458,0.2680851063829787,0.2672413793103448,0.21982758620689655,0.17105263157894737,0.1572052401746725,0.15789473684210525,0.14224137931034483,0.13304721030042918,0.11739130434782609,0.09649122807017543,0.0881057268722467,0.09417040358744394,0.08597285067873303,0.0776255707762557,0.045662100456621,0.02252252252252252,0.02252252252252252,0.017857142857142856,0.02631578947368421,0.0391304347826087,0.04405286343612335,0.04424778761061947,0.04782608695652174,0.06167400881057269,0.05263157894736842,0.048458149779735685
8232,0.192033132893266,0.36,0.30158730158730157,0.34274193548387094,0.36585365853658536,0.3588709677419355,0.3557312252964427,0.30708661417322836,0.2559055118110236,0.23137254901960785,0.20622568093385213,0.2,0.1843137254901961,0.1746031746031746,0.16796875,0.13307984790874525,0.11196911196911197,0.12355212355212356,0.1346153846153846,0.12927756653992395,0.11787072243346007,0.12307692307692308,0.09302325581395349,0.0796812749003984,0.06666666666666667,0.048,0.03557312252964427,0.043137254901960784,0.046875,0.051181102362204724,0.04032258064516129
995,0.124972548393998,0.18303571428571427,0.1875,0.21777777777777776,0.2345132743362832,0.2345132743362832,0.29004329004329005,0.28761061946902655,0.28448275862068967,0.26141078838174275,0.24896265560165975,0.21686746987951808,0.2056451612903226,0.172,0.14516129032258066,0.14227642276422764,0.13008130081300814,0.12550607287449392,0.10569105691056911,0.08835341365461848,0.09126984126984126,0.06976744186046512,0.06870229007633588,0.07279693486590039,0.08239700374531835,0.08778625954198473,0.08015267175572519,0.06538461538461539,0.058365758754863814,0.058823529411764705,0.06374501992031872
1087,0.123998933471739,0.375,0.3614457831325301,0.3373493975903614,0.3373493975903614,0.3412698412698413,0.36470588235294116,0.3373015873015873,0.2948207171314741,0.24803149606299213,0.23484848484848486,0.20454545454545456,0.16728624535315986,0.1348314606741573,0.10486891385767791,0.0695970695970696,0.06474820143884892,0.060498220640569395,0.061371841155234655,0.06159420289855073,0.05818181818181818,0.05776173285198556,0.06934306569343066,0.061371841155234655,0.0636042402826855,0.05434782608695652,0.043478260869565216,0.03942652329749104,0.03636363636363636,0.025179856115107913,0.01486988847583643
4191,0.0996091921930201,0.32905982905982906,0.35294117647058826,0.34615384615384615,0.3389121338912134,0.3651452282157676,0.3817427385892116,0.3510204081632653,0.3008130081300813,0.2674897119341564,0.23045267489711935,0.19262295081967212,0.15040650406504066,0.12698412698412698,0.099601593625498,0.0703125,0.06048387096774194,0.048582995951417005,0.05327868852459016,0.04938271604938271,0.03571428571428571,0.0392156862745098,0.03875968992248062,0.042801556420233464,0.038910505836575876,0.03187250996015936,0.02390438247011952,0.016260162601626018,0.012195121951219513,0.008130081300813009,0.00816326530612245
5551,0.21389469213900197,0.4772727272727273,0.45454545454545453,0.416289592760181,0.4605263157894737,0.39732142857142855,0.4375,0.41150442477876104,0.34210526315789475,0.25112107623318386,0.18502202643171806,0.19736842105263158,0.1702127659574468,0.1581196581196581,0.09829059829059829,0.08368200836820083,0.07883817427385892,0.06722689075630252,0.05416666666666667,0.058333333333333334,0.05394190871369295,0.04700854700854701,0.04201680672268908,0.058333333333333334,0.06611570247933884,0.07883817427385892,0.0794979079497908,0.08016877637130802,0.1078838174273859,0.1346938775510204,0.20491803278688525
