IUID,Endemicity,Prev_Year2000,Prev_Year2001,Prev_Year2002,Prev_Year2003,Prev_Year2004,Prev_Year2005,Prev_Year2006,Prev_Year2007,Prev_Year2008,Prev_Year2009,Prev_Year2010,Prev_Year2011,Prev_Year2012,Prev_Year2013,Prev_Year2014,Prev_Year2015,Prev_Year2016,Prev_Year2017,Prev_Year2018,Lower_Bound_Year2000,Lower_Bound_Year2001,Lower_Bound_Year2002,Lower_Bound_Year2003,Lower_Bound_Year2004,Lower_Bound_Year2005,Lower_Bound_Year2006,Lower_Bound_Year2007,Lower_Bound_Year2008,Lower_Bound_Year2009,Lower_Bound_Year2010,Lower_Bound_Year2011,Lower_Bound_Year2012,Lower_Bound_Year2013,Lower_Bound_Year2014,Lower_Bound_Year2015,Lower_Bound_Year2016,Lower_Bound_Year2017,Lower_Bound_Year2018,Upper_Bound_Year2000,Upper_Bound_Year2001,Upper_Bound_Year2002,Upper_Bound_Year2003,Upper_Bound_Year2004,Upper_Bound_Year2005,Upper_Bound_Year2006,Upper_Bound_Year2007,Upper_Bound_Year2008,Upper_Bound_Year2009,Upper_Bound_Year2010,Upper_Bound_Year2011,Upper_Bound_Year2012,Upper_Bound_Year2013,Upper_Bound_Year2014,Upper_Bound_Year2015,Upper_Bound_Year2016,Upper_Bound_Year2017,Upper_Bound_Year2018
ETH19281,Unknown,0.17032967,0.147299904,0.146110057,0.128571429,0.121212121,0.108108108,0.090909091,0.07950158,0.065681622,0.063492063,0.043478261,0.042857143,0.033060109,0.032266458,0.017241379,0.015749008,0.015873016,0.0125,0.006410256,0.013504623,0.012987013,0.013356164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.452446973,0.439393939,0.442622951,0.423911455,0.389673913,0.37941092,0.33862069,0.344027218,0.376623377,0.35952524,0.322091159,0.271846847,0.294928571,0.259577047,0.246467391,0.254799465,0.232937147,0.200597015,0.166796875
SEN40184,Unknown,0.166666667,0.145454545,0.136363636,0.118525022,0.106477733,0.093333333,0.076340326,0.074074074,0.064516129,0.058823529,0.051315789,0.042261905,0.040678434,0.028778468,0.028169014,0.015038444,0.015268065,0.013888889,0.006493506,0.023780488,0.016949153,0.015,0.015602022,0.013879505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.440428571,0.455882353,0.446153846,0.426523109,0.444444444,0.390625,0.34357246,0.375,0.352329749,0.36341712,0.333333333,0.323333333,0.28125,0.224437428,0.301587302,0.241627119,0.241935484,0.20841932,0.209365146
ETH18694,Unknown,0.166666667,0.140825321,0.150384441,0.13334065,0.140735035,0.116666667,0.097257251,0.099295775,0.080645161,0.066120219,0.052631579,0.047619048,0.033333333,0.032786885,0.027777778,0.015038444,0.014815628,0.014389234,0.006578947,0.029808703,0.028551587,0.014492754,0.01561899,0.014705882,0.013175676,0,0,0,0,0,0,0,0,0,0,0,0,0,0.500390625,0.451751152,0.426780667,0.431065574,0.413416667,0.375208333,0.428678038,0.370691065,0.367644928,0.40617849,0.346028708,0.379310345,0.297454151,0.298733766,0.301794098,0.311410256,0.231060606,0.274261787,0.212889254
MDG27869,Unknown,0.180327869,0.163217213,0.142857143,0.134960789,0.115966387,0.115942029,0.103230103,0.088989442,0.086206897,0.079796265,0.059262511,0.054794521,0.051064754,0.039473684,0.027799228,0.02209219,0.016530055,0.015504808,0.006944444,0.01512987,0,0.012820513,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.914739382,0.882986425,0.871107129,0.89041631,0.862512842,0.879175329,0.876853344,0.876923077,0.892727273,0.87958786,0.863362069,0.882346491,0.869308567,0.888932292,0.901492287,0.901985685,0.871560665,0.873291925,0.895583308
GHA21544,Unknown,0.158312448,0.128853755,0.122807018,0.118034056,0.101470588,0.094172297,0.07435047,0.06814488,0.065800866,0.052307692,0.043478261,0.032002048,0.029198636,0.027027027,0.016393443,0.014084507,0.012987013,0,0.011302682,0.032773665,0.031172975,0.030735294,0.014130435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.445646766,0.440362213,0.390656672,0.448305423,0.396989633,0.366719673,0.357589286,0.403508772,0.339513362,0.364015152,0.392750332,0.365358628,0.375132042,0.299378109,0.297120502,0.337530242,0.317705224,0.299539474,0.27276393
MOZ33166,Unknown,0.154929577,0.128571429,0.126984127,0.118525022,0.112588028,0.087595908,0.075192221,0.069444444,0.064004096,0.054424287,0.046875,0.032539683,0.02739726,0.026315789,0.023529412,0.015384615,0.011854658,0,0.011437908,0.03030303,0,0,0.012048193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.444907407,0.381105991,0.398363095,0.380952381,0.339719001,0.31219547,0.375326493,0.359375,0.308181818,0.317460317,0.323567853,0.317462121,0.353870968,0.269213026,0.25797235,0.24249087,0.250256849,0.232221639,0.212197929
SEN40222,Unknown,0.162612374,0.141851107,0.139240506,0.120132845,0.11359447,0.111111111,0.081636431,0.082191781,0.081140351,0.08623253,0.065529816,0.045804196,0.036634401,0.032266458,0.028571429,0.016129032,0.015384615,0,0.011634199,0.028561368,0.027027027,0.018799452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.466785714,0.448787716,0.4347189,0.391276042,0.409974747,0.410459729,0.403566185,0.393035714,0.360870113,0.349206349,0.353928571,0.298744019,0.309019608,0.277786885,0.260964093,0.25492674,0.224435389,0.202898551,0.250105932
GHA21545,Unknown,0.154842615,0.128571429,0.127445552,0.116200579,0.105572139,0.088502506,0.088163447,0.074626866,0.065254418,0.053571429,0.051724138,0.038961039,0.030536131,0.028169014,0.018874644,0.014599318,0.013701201,0.012507817,0.011904762,0.032773665,0.027816901,0.013320513,0.01347688,0.013175676,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.463117284,0.492537313,0.492643085,0.441782229,0.416049784,0.388921589,0.388059701,0.403508772,0.354816196,0.322849462,0.362194457,0.362828771,0.301886792,0.285844156,0.298836984,0.26703125,0.276054018,0.266756757,0.221245656
RWA38116,Unknown,0.166666667,0.150342466,0.146666667,0.131513926,0.125,0.109772423,0.083920188,0.076923077,0.060606061,0.060153777,0.051836095,0.040540541,0.030076888,0.030076888,0.027027027,0.017857143,0.014185111,0.013606072,0.011904762,0.016949153,0.02575571,0.015362319,0.015607509,0.014280684,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.723737267,0.709177215,0.735294118,0.712796443,0.743035714,0.730516337,0.750178571,0.734436678,0.771125411,0.732317547,0.731809701,0.721178181,0.679266767,0.739402174,0.728518519,0.704659498,0.720650452,0.705445767,0.656965174
CIV15397,Unknown,0.152660075,0.136289761,0.131601732,0.111111111,0.104355717,0.08974359,0.086959877,0.07299659,0.062354312,0.056763285,0.042606769,0.038218111,0.037773202,0.028370221,0.028169014,0.015889029,0.014492754,0.013423423,0.011976477,0.027861614,0.038392857,0.016949153,0.013541667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.49258512,0.525641026,0.447162162,0.466122576,0.425235126,0.407638889,0.39452205,0.416666667,0.397987616,0.367882112,0.349597812,0.314106037,0.287177986,0.277971014,0.290142942,0.280954545,0.275562394,0.294653846,0.289802632
MOZ33165,Unknown,0.171921182,0.139932753,0.130604288,0.127922078,0.116818182,0.105263158,0.094494048,0.076340326,0.076923077,0.059701493,0.059701493,0.044117647,0.04,0.028169014,0.028778468,0.016129032,0.01369863,0.012048193,0.011979914,0.030212121,0.028122683,0.014671569,0.014130435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.441176471,0.466666667,0.375390625,0.381785714,0.365332284,0.353587344,0.348059006,0.291397849,0.317182056,0.317460317,0.290072663,0.274647059,0.378787879,0.290944056,0.241645299,0.286263736,0.290673212,0.278979376,0.197935354
NGA36984,Unknown,0.153311966,0.149253731,0.132931727,0.113247863,0.114519906,0.090909091,0.077922078,0.069204981,0.063492063,0.051724138,0.043185584,0.044786096,0.037552809,0.026666667,0.028991597,0.015151515,0.014389234,0.013333333,0.011986793,0,0.026735967,0.015586488,0.012341772,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.464160214,0.418764056,0.4,0.370486111,0.368644489,0.408223684,0.323637898,0.275463555,0.26875848,0.280767544,0.26113354,0.226614092,0.264381219,0.222348485,0.20015873,0.191837048,0.161764706,0.180702684,0.111458333
ETH18914,Unknown,0.171428571,0.136986301,0.130152456,0.135468802,0.10597148,0.096914822,0.093541667,0.081524147,0.073465927,0.07194617,0.056349206,0.04412719,0.032291667,0.030769231,0.028991597,0.015625,0.015151515,0.01282262,0.012048193,0.028551587,0.026409836,0.017502089,0.01694209,0,0.012037037,0,0,0,0,0,0,0,0,0,0,0,0,0,0.479685499,0.472441983,0.438694853,0.435426201,0.429332553,0.403566185,0.426639344,0.373174707,0.36015493,0.384722222,0.360016393,0.345909091,0.339269713,0.287012987,0.295708955,0.28404213,0.254332504,0.270095238,0.24126506
MDG27838,Unknown,0.157936508,0.138668589,0.120689655,0.125,0.097567425,0.085714286,0.079156224,0.07281725,0.062114198,0.056470901,0.041381279,0.031754032,0.030769231,0.025978408,0.027027027,0.016530055,0.014815628,0.013428262,0.012049942,0.016110422,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.441698054,0.384375,0.392949507,0.370155912,0.350764696,0.329369919,0.318701849,0.311524345,0.322033898,0.288135593,0.26875848,0.237900641,0.228129371,0.205223881,0.224044486,0.209413161,0.170173348,0.164383562,0.130583004
MDG27906,Unknown,0.163441781,0.138196286,0.133744038,0.138461538,0.114614122,0.108932103,0.078461538,0.072077922,0.059262511,0.066666667,0.062114198,0.053693694,0.041666667,0.03125,0.029198636,0.016530055,0.01379376,0.013986698,0.012055192,0,0,0.013356164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.541138262,0.462943727,0.433288288,0.453440711,0.435107073,0.413296445,0.409456857,0.403648325,0.393939394,0.405969634,0.339779412,0.334134615,0.322990705,0.333333333,0.309133907,0.289961637,0.292462687,0.295418552,0.219668779
NGA37001,Unknown,0.169811321,0.15,0.142857143,0.13238157,0.114285714,0.123287671,0.093808925,0.088607595,0.083920188,0.069047619,0.066714108,0.046875,0.047619048,0.033333333,0.028991597,0.02739726,0.015625,0.014084507,0.012063953,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.444654088,0.40964795,0.385294118,0.347880435,0.377188602,0.325320946,0.319682018,0.317612045,0.343851902,0.320339262,0.328141053,0.297471993,0.275567813,0.243326546,0.253526382,0.258064516,0.221471133,0.218553744,0.172590628
GAB20346,Unknown,0.164383562,0.147407407,0.134640738,0.12,0.09724098,0.095262097,0.081524147,0.075192221,0.08015839,0.058397272,0.048289934,0.041381279,0.032795699,0.030090498,0.0225,0.016261237,0.01428863,0.013072454,0.012112473,0.013,0.013689498,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.508196721,0.492629552,0.476923077,0.492307692,0.433221584,0.419585253,0.419704301,0.381194196,0.379263747,0.328495661,0.333766234,0.312947828,0.295294204,0.274646402,0.226797101,0.20551488,0.197292368,0.174898551,0.177187029
ETH18957,Unknown,0.172064777,0.145044413,0.126872345,0.118525022,0.102941176,0.101470588,0.082191781,0.080322581,0.069204981,0.052640693,0.049834574,0.040547945,0.04,0.028370221,0.017392619,0.015504808,0.015749008,0.014084507,0.012121657,0.025934431,0.01754386,0,0.01369863,0.013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.516769463,0.484081886,0.460878489,0.430357143,0.475797317,0.472916667,0.400454545,0.393606557,0.354677419,0.383088235,0.41144882,0.386404762,0.351032609,0.387096774,0.4,0.344810667,0.368436717,0.367619048,0.300941558
