IUID,Endemicity,Prev_Year2000,Prev_Year2001,Prev_Year2002,Prev_Year2003,Prev_Year2004,Prev_Year2005,Prev_Year2006,Prev_Year2007,Prev_Year2008,Prev_Year2009,Prev_Year2010,Prev_Year2011,Prev_Year2012,Prev_Year2013,Prev_Year2014,Prev_Year2015,Prev_Year2016,Prev_Year2017,Prev_Year2018,Lower_Bound_Year2000,Lower_Bound_Year2001,Lower_Bound_Year2002,Lower_Bound_Year2003,Lower_Bound_Year2004,Lower_Bound_Year2005,Lower_Bound_Year2006,Lower_Bound_Year2007,Lower_Bound_Year2008,Lower_Bound_Year2009,Lower_Bound_Year2010,Lower_Bound_Year2011,Lower_Bound_Year2012,Lower_Bound_Year2013,Lower_Bound_Year2014,Lower_Bound_Year2015,Lower_Bound_Year2016,Lower_Bound_Year2017,Lower_Bound_Year2018,Upper_Bound_Year2000,Upper_Bound_Year2001,Upper_Bound_Year2002,Upper_Bound_Year2003,Upper_Bound_Year2004,Upper_Bound_Year2005,Upper_Bound_Year2006,Upper_Bound_Year2007,Upper_Bound_Year2008,Upper_Bound_Year2009,Upper_Bound_Year2010,Upper_Bound_Year2011,Upper_Bound_Year2012,Upper_Bound_Year2013,Upper_Bound_Year2014,Upper_Bound_Year2015,Upper_Bound_Year2016,Upper_Bound_Year2017,Upper_Bound_Year2018
TZA46477,Unknown,0.175191816,0.164368033,0.162612374,0.127777778,0.117655367,0.115384615,0.090909091,0.094044811,0.091442786,0.076923077,0.063660925,0.06668519,0.050632911,0.046332737,0.044705295,0.041960094,0.027783137,0.026666667,0.026519143,0.016270963,0.025721501,0.012341772,0.015833333,0.0125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.589553571,0.575958904,0.531401586,0.555897436,0.525423729,0.466149783,0.52328125,0.486848958,0.470665635,0.480808081,0.500357143,0.448025498,0.438855594,0.456227718,0.427110193,0.422686117,0.38624226,0.389440639,0.377006689
TZA46478,Unknown,0.225579282,0.188988095,0.177123552,0.174258109,0.173508484,0.157490079,0.133586084,0.135978428,0.135978428,0.104754441,0.107142857,0.092329545,0.074078139,0.058747412,0.061167228,0.061257036,0.041666667,0.041674706,0.032002048,0.033898305,0.030666667,0.030746269,0.024813596,0.013541667,0.014925373,0,0,0,0,0,0,0,0,0,0,0,0,0,0.971457926,0.969719251,0.971034905,0.974042413,0.985294118,0.973561404,0.968266369,0.972863942,0.985090618,0.973342105,0.974553571,0.980795455,0.982165557,0.982779819,1,0.984126984,0.986490991,0.984139194,0.987658085
TZA46462,Unknown,0.171428571,0.147540984,0.137980769,0.129032258,0.114519906,0.098765432,0.084422196,0.074626866,0.068729334,0.064309347,0.045454545,0.041397031,0.035098522,0.016666667,0.025158228,0.016949153,0.014705882,0.014599318,0.012660256,0.029818763,0.023059034,0.014472901,0.014070232,0.014680701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.45193662,0.457644774,0.457142857,0.439615987,0.393035714,0.382409502,0.365143557,0.34365211,0.367647059,0.35077381,0.328125,0.287878788,0.338235294,0.273972603,0.246575342,0.209224138,0.203692036,0.19463365,0.147435484
ETH19055,Unknown,0.157174934,0.121212121,0.120725543,0.112359551,0.101694915,0.090230665,0.078125,0.064516129,0.064553015,0.055555556,0.04109589,0.035504202,0.032522475,0.02485335,0.019615385,0.014495798,0.013245614,0.012666346,0,0.011494253,0.012662338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.434355263,0.419354839,0.423653846,0.419487406,0.423082942,0.4398126,0.39765625,0.414371609,0.326939655,0.329658006,0.31622807,0.324191176,0.305793379,0.307720588,0.260856676,0.277042254,0.230119698,0.222348485,0.200223881
ETH19102,Unknown,0.149626866,0.129411765,0.111111111,0.101572095,0.096774194,0.084507042,0.070197044,0.057971014,0.052631579,0.044117647,0.031746032,0.027973396,0.015268065,0.013076923,0,0,0,0,0,0.027361679,0,0.012341772,0.017234074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.381349206,0.353870968,0.304238246,0.313139744,0.290932494,0.309744916,0.35,0.260663675,0.233716335,0.232242063,0.213203552,0.194668079,0.17656702,0.1675,0.144940711,0.120125,0.106152993,0.101761145,0.051369863
NGA36421,Unknown,0.137931034,0.125992063,0.112903226,0.104477612,0.092307692,0.071428571,0.063903634,0.052289815,0.050957481,0.037037037,0.031746032,0.027973396,0.026846847,0.013245614,0,0,0,0,0,0.027529762,0,0.013492131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.377471436,0.403617424,0.365595238,0.355932203,0.345762072,0.299071618,0.294117647,0.276405993,0.262042254,0.274672043,0.213786885,0.194661458,0.177058824,0.2,0.159799862,0.140688259,0.115833333,0.114642857,0.06704918
ETH19043,Unknown,0.160714286,0.140688259,0.126760563,0.112698413,0.098476103,0.089418977,0.069444444,0.062354312,0.057971014,0.046886447,0.039088363,0.029211087,0.026666667,0.016949153,0.014389234,0.012048193,0,0,0,0.014450948,0,0.014772727,0.013541667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.423239437,0.400069444,0.387578125,0.371119778,0.350951417,0.329636076,0.278525641,0.283933014,0.270480727,0.278706606,0.228508772,0.232039337,0.200067568,0.200327869,0.173161765,0.147758709,0.16194594,0.132352941,0.090944056
TGO48682,Unknown,0.132352941,0.112676056,0.103448276,0.093333333,0.083333333,0.068968798,0.054794521,0.044446883,0.042403356,0.035714286,0.029411765,0.015749008,0.014925373,0,0,0,0,0,0,0,0.013324675,0,0.013175676,0.01314946,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.270502646,0.256983407,0.23880597,0.246325301,0.220877101,0.210526316,0.189722617,0.194179104,0.158536585,0.152819723,0.143083183,0.114591574,0.104643449,0.077542373,0.109671896,0.084648271,0.068733947,0.052982456,0.025041667
NGA37042,Unknown,0.136931818,0.117647059,0.111111111,0.096774194,0.080863121,0.068030359,0.059262511,0.048199768,0.045115332,0.033615819,0.028370221,0.017095266,0.014285714,0.013072454,0,0,0,0,0,0,0,0,0.0121875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.370396825,0.353928571,0.30382965,0.281476815,0.257954545,0.261875,0.224189245,0.241492369,0.200660377,0.222222222,0.166833333,0.178094423,0.132667306,0.117830882,0.109834776,0.082380576,0.071428571,0.063375527,0.03078125
COD14110,Unknown,0.164158994,0.132352941,0.131393862,0.109368331,0.113480885,0.091608392,0.084039548,0.075757576,0.067141312,0.055050505,0.046875,0.045454545,0.03030303,0.027212144,0.017241379,0.015154994,0.014084507,0.012820513,0,0.025324675,0.014079617,0.014435313,0.015625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.472453704,0.459864927,0.423076923,0.403671477,0.368457102,0.352436843,0.334027778,0.327886417,0.306451613,0.278744726,0.350910895,0.292632689,0.290417457,0.25929803,0.25350211,0.202947806,0.232099615,0.209701493,0.150813912
COD14069,Unknown,0.148648649,0.130152456,0.117652085,0.102963444,0.102238806,0.086581709,0.077422577,0.072463768,0.051739518,0.044786096,0.04109589,0.029850746,0.026491228,0.016530055,0.013245614,0.00625,0,0,0,0.029850746,0.016646825,0.014492754,0,0.014271037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.542372881,0.384642857,0.40625,0.353846154,0.393939394,0.34922619,0.378787879,0.313432836,0.323461538,0.268700397,0.278645833,0.283771018,0.271183473,0.231333333,0.268656716,0.172255768,0.1875,0.19047619,0.147149476
AGO02201,Unknown,0.165525114,0.137458668,0.136363636,0.117652085,0.108270922,0.091608392,0.083349412,0.078125,0.0625,0.060606061,0.045454545,0.036949153,0.018424611,0.028169014,0.017241379,0.014599318,0.01282262,0,0,0.028159233,0.017172664,0.014492754,0.015373134,0.014695378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.43640233,0.405542769,0.403577303,0.402458694,0.368457102,0.324891775,0.311765448,0.308938762,0.286118598,0.258309332,0.258712549,0.28358209,0.294141755,0.241161616,0.197253521,0.173240435,0.156453339,0.173097826,0.128476426
ETH19138,Unknown,0.201449275,0.164056765,0.158536585,0.15625,0.14389234,0.124143836,0.118145563,0.095564253,0.092105263,0.087719298,0.070175439,0.064102564,0.059288538,0.043478261,0.042555332,0.038357843,0.027777778,0.026315789,0.025316456,0.041943452,0.014492754,0.014492754,0.015135046,0.01369863,0.013333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0.513566301,0.471770067,0.531903176,0.458760246,0.444666667,0.438596491,0.439089912,0.419808468,0.389002732,0.3878125,0.354642857,0.392169221,0.353364222,0.365107311,0.373134328,0.327886417,0.311565237,0.306979978,0.268365027
ETH19120,Unknown,0.198484848,0.181464738,0.172873563,0.174603175,0.147058824,0.142857143,0.127717391,0.111111111,0.103448276,0.090144928,0.082079497,0.070298987,0.05371305,0.059714795,0.055175038,0.046164773,0.035087719,0.037087912,0.032258065,0.044776119,0.029829115,0.014492754,0.02258282,0.015367647,0,0,0.012341772,0,0,0,0,0,0,0,0,0,0,0,0.516440092,0.500198413,0.492957746,0.476418067,0.453428571,0.417361111,0.458460366,0.424564165,0.368095238,0.352105263,0.367925579,0.339524868,0.360961378,0.296155622,0.333445946,0.307098592,0.242613636,0.254142857,0.207160648
ETH18688,Unknown,0.176470588,0.138675214,0.15,0.120847024,0.125,0.103896104,0.097769813,0.088311688,0.080552466,0.062996032,0.052631579,0.047905909,0.036931818,0.03030303,0.028191384,0.015628816,0.014599318,0.013891569,0.016001024,0.04214655,0.024691358,0.016116431,0.022159091,0.014705882,0,0.012662338,0.014084507,0,0,0,0,0,0,0,0,0,0,0,0.535390308,0.520547945,0.500657895,0.457757675,0.493933558,0.484069276,0.433259553,0.418664773,0.44454023,0.42449923,0.389098174,0.379494253,0.391943079,0.359712659,0.35447373,0.319556925,0.347976589,0.28882694,0.264784664
ETH18694,Unknown,0.166666667,0.140825321,0.150384441,0.13334065,0.140735035,0.116666667,0.097257251,0.099295775,0.080645161,0.066120219,0.052631579,0.047619048,0.033333333,0.032786885,0.027777778,0.015038444,0.014815628,0.014389234,0.006578947,0.029808703,0.028551587,0.014492754,0.01561899,0.014705882,0.013175676,0,0,0,0,0,0,0,0,0,0,0,0,0,0.500390625,0.451751152,0.426780667,0.431065574,0.413416667,0.375208333,0.428678038,0.370691065,0.367644928,0.40617849,0.346028708,0.379310345,0.297454151,0.298733766,0.301794098,0.311410256,0.231060606,0.274261787,0.212889254
ETH18699,Unknown,0.166666667,0.148148148,0.15,0.14389234,0.13238157,0.114030336,0.106601732,0.098669843,0.076798349,0.070925553,0.057971014,0.049193548,0.048387097,0.034911961,0.041126761,0.026315789,0.014925373,0.014605544,0.015625,0.041005993,0.025957587,0.014492754,0.014894705,0.013884132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.535211268,0.492250987,0.500431034,0.461885246,0.460706706,0.462295082,0.463811844,0.437673611,0.436815336,0.434324324,0.400542169,0.381503198,0.370205479,0.351438535,0.357738095,0.396825397,0.329552743,0.28839489,0.317841994
ETH18702,Unknown,0.226969697,0.198573574,0.2015625,0.202913851,0.183134921,0.173623188,0.159829721,0.156036217,0.133830846,0.128571429,0.121710526,0.105270092,0.091608392,0.092927632,0.081418471,0.083333333,0.073545317,0.043797954,0.042857143,0.043340671,0.027777778,0.016088125,0.027664729,0.017515099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.515748074,0.475045198,0.448336571,0.462686567,0.46875,0.46952862,0.430332007,0.451367596,0.44830085,0.407705745,0.40015625,0.41031746,0.393950064,0.37714676,0.362762605,0.3732322,0.350572034,0.328690476,0.31070309
ETH18692,Unknown,0.194237148,0.162162162,0.162162162,0.172604167,0.154387866,0.128801843,0.11684435,0.101470588,0.095232959,0.084507042,0.068381064,0.061100746,0.051397755,0.052982456,0.046875,0.029850746,0.028174603,0.027212144,0.025974026,0.029850746,0.025300828,0.014492754,0.012662338,0.014285714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.507945499,0.523076923,0.514285714,0.47602459,0.46875,0.493095238,0.465217391,0.443066202,0.389955357,0.484375,0.40625,0.428571429,0.409836066,0.351722497,0.382874763,0.37707417,0.34675,0.327599677,0.30180624
ETH18690,Unknown,0.196845504,0.159394334,0.163217213,0.15942029,0.143755869,0.133333333,0.1306926,0.121643836,0.109401709,0.095564253,0.079365079,0.080645161,0.05801976,0.054835681,0.055968689,0.044446883,0.031024531,0.028169014,0.029411765,0.042827381,0.024691358,0.014492754,0.026961107,0.014667183,0.0125,0,0.012341772,0,0,0,0,0,0,0,0,0,0,0,0.48,0.493506494,0.466666667,0.439393939,0.417910448,0.426471206,0.453125,0.396904762,0.392451737,0.448275862,0.368324303,0.37059387,0.356635274,0.359375,0.306456989,0.304837722,0.32428733,0.284825871,0.242603515
