IUID,Endemicity,Prev_Year2000,Prev_Year2001,Prev_Year2002,Prev_Year2003,Prev_Year2004,Prev_Year2005,Prev_Year2006,Prev_Year2007,Prev_Year2008,Prev_Year2009,Prev_Year2010,Prev_Year2011,Prev_Year2012,Prev_Year2013,Prev_Year2014,Prev_Year2015,Prev_Year2016,Prev_Year2017,Prev_Year2018,Lower_Bound_Year2000,Lower_Bound_Year2001,Lower_Bound_Year2002,Lower_Bound_Year2003,Lower_Bound_Year2004,Lower_Bound_Year2005,Lower_Bound_Year2006,Lower_Bound_Year2007,Lower_Bound_Year2008,Lower_Bound_Year2009,Lower_Bound_Year2010,Lower_Bound_Year2011,Lower_Bound_Year2012,Lower_Bound_Year2013,Lower_Bound_Year2014,Lower_Bound_Year2015,Lower_Bound_Year2016,Lower_Bound_Year2017,Lower_Bound_Year2018,Upper_Bound_Year2000,Upper_Bound_Year2001,Upper_Bound_Year2002,Upper_Bound_Year2003,Upper_Bound_Year2004,Upper_Bound_Year2005,Upper_Bound_Year2006,Upper_Bound_Year2007,Upper_Bound_Year2008,Upper_Bound_Year2009,Upper_Bound_Year2010,Upper_Bound_Year2011,Upper_Bound_Year2012,Upper_Bound_Year2013,Upper_Bound_Year2014,Upper_Bound_Year2015,Upper_Bound_Year2016,Upper_Bound_Year2017,Upper_Bound_Year2018
COD14300,Unknown,0.132142857,0.122083396,0.124946786,0.119402985,0.117655367,0.117841027,0.117647059,0.115942029,0.102195226,0.118118467,0.124143836,0.111893584,0.097993827,0.102963444,0.106060606,0.100632911,0.102958493,0.094594595,0.088311688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.949367089,0.936708861,0.958733974,0.933333333,0.941176471,0.936507937,0.923148781,0.961550024,0.951714387,0.961069591,0.955223881,0.956521739,0.932205665,0.948337136,0.93125,0.95728836,0.897439884,0.952380952,0.915415058
COD14301,Unknown,0.054794521,0.061728395,0.052640693,0.046966912,0.046164773,0.044117647,0.046514423,0.048486629,0.039736842,0.044117647,0.04109589,0.037974684,0.043275218,0.041103604,0.039217362,0.028381643,0.029850746,0.027222222,0.025641026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.39480818,0.37804878,0.423529412,0.4125,0.418918919,0.37804878,0.390243902,0.38372093,0.367088608,0.368421053,0.32,0.366197183,0.371428571,0.341772152,0.358195696,0.351303407,0.309367484,0.286904762,0.30001755
COD14302,Unknown,0.094172297,0.083478261,0.082762557,0.06814488,0.075498575,0.070483671,0.075757576,0.075226244,0.07299659,0.069457843,0.077422577,0.073170732,0.071657754,0.07946654,0.075192221,0.070866801,0.07194617,0.059173669,0.057307061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.573529412,0.539500356,0.530378788,0.532467532,0.545454545,0.52173913,0.492943179,0.519762658,0.5,0.466059639,0.50613852,0.458214286,0.462959229,0.476923077,0.471428571,0.48736336,0.487837838,0.488109756,0.458709486
COD14303,Unknown,0.054804805,0.058333333,0.054444444,0.055555556,0.051282051,0.051948052,0.046511628,0.045135747,0.040540541,0.039480519,0.03950104,0.042857143,0.047270471,0.046153846,0.034190532,0.038218111,0.037737342,0.030769231,0.027783137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.396136027,0.451130168,0.445442708,0.449737027,0.421050214,0.435180649,0.458469203,0.443956767,0.481773212,0.468681994,0.414505495,0.395311459,0.393035714,0.346996753,0.361253561,0.352553849,0.393492373,0.364301552,0.356087461
COD14304,Unknown,0.111598303,0.12,0.113247863,0.10275264,0.107692308,0.096803882,0.111111111,0.103962944,0.109375,0.108533654,0.102941176,0.1,0.095908408,0.093023256,0.1,0.1,0.090909091,0.098387097,0.09724098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.71453202,0.720154762,0.728495044,0.698857769,0.657822954,0.651262044,0.716644144,0.697670455,0.716293267,0.677713601,0.712305987,0.673369265,0.70046875,0.704630471,0.757293233,0.699266649,0.697567914,0.698135198,0.716623405
COD14306,Unknown,0.083549352,0.079156224,0.075378788,0.075922266,0.075961538,0.064102564,0.070422535,0.065789474,0.063560463,0.063797314,0.064725597,0.06289557,0.059701493,0.067579909,0.066666667,0.0625,0.059532247,0.053812741,0.050641026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.617283951,0.623829944,0.671232877,0.634207746,0.632352941,0.591114964,0.6,0.550043103,0.538274536,0.581669573,0.587301587,0.533513514,0.637681159,0.615384615,0.561643836,0.521126761,0.54669863,0.594594595,0.543209877
COD14307,Unknown,0.058397272,0.050632911,0.044816054,0.046153846,0.040540541,0.041960094,0.032266458,0.04,0.03125,0.029411765,0.028985507,0.025978408,0.014705882,0.025,0.014822134,0.015640274,0.01369863,0.012903763,0.012292609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.371052632,0.383914474,0.398995434,0.341896305,0.365504359,0.333333333,0.316456381,0.333680556,0.32577911,0.252896341,0.280534826,0.240151822,0.305422932,0.279085314,0.30052663,0.351465873,0.324178404,0.316319444,0.317840909
COD14308,Unknown,0.072478992,0.070422535,0.065254418,0.070177839,0.06504495,0.063391601,0.064309347,0.065152801,0.06327469,0.061370482,0.064102564,0.062114198,0.054054054,0.057307061,0.057983193,0.057471264,0.056338028,0.046514423,0.045454545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.48996956,0.494300469,0.507776119,0.470647854,0.474184783,0.486458333,0.450356911,0.466388249,0.525423729,0.442410714,0.446905788,0.500833333,0.492557214,0.492313433,0.485714286,0.486486486,0.446890244,0.437741262,0.423862075
COD14309,Unknown,0.088235294,0.095238095,0.090230665,0.101861001,0.099227257,0.097222222,0.094117647,0.098563044,0.1,0.088053797,0.088053797,0.080322581,0.084658188,0.077422577,0.082191781,0.075,0.07194617,0.068965517,0.068493151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.544264706,0.559778314,0.515220771,0.530024895,0.541068123,0.523666667,0.555555556,0.537318097,0.558087703,0.605430086,0.570999446,0.560535714,0.60084507,0.56201146,0.6003125,0.583818493,0.593132739,0.571616541,0.539240506
COD14310,Unknown,0.098157051,0.101265823,0.1,0.100847458,0.099234554,0.097222222,0.08716094,0.090815425,0.090230665,0.08974359,0.090909091,0.083333333,0.078947368,0.088235294,0.082191781,0.075474684,0.073801743,0.07299659,0.068968798,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.647927807,0.577912932,0.515808824,0.540289439,0.573809524,0.552238806,0.604361007,0.5979598,0.594964105,0.536715368,0.56897749,0.546953125,0.567801455,0.52873996,0.532875664,0.514893018,0.544303797,0.525644841,0.538224859
COD14312,Unknown,0.047919656,0.048583792,0.047619048,0.037737342,0.041960094,0.037737342,0.03030303,0.028985507,0.027598021,0.025807526,0.016261237,0.025807526,0.024695122,0.024250441,0.014599318,0.014185111,0.013513514,0.014087302,0.013986698,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.315256297,0.303267045,0.301747009,0.311611969,0.263621201,0.224099099,0.276696429,0.274123288,0.300138889,0.302942502,0.279694093,0.320433735,0.35630805,0.344023157,0.342475538,0.333680556,0.318267526,0.317279244,0.311611969
COD14313,Unknown,0.044466403,0.050632911,0.038961039,0.0375,0.034738956,0.029850746,0.03452381,0.029411765,0.029850746,0.03030303,0.020037987,0.024393872,0.024096386,0.019984701,0.024695122,0.016397849,0.016001024,0.014854754,0.012820513,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.160104478,0.176470588,0.166847826,0.17106203,0.177635556,0.164685737,0.161001029,0.179826353,0.178571429,0.173032407,0.166833333,0.167077465,0.141368061,0.160268293,0.15221519,0.146716216,0.150705687,0.152493158,0.150069444
COD14314,Unknown,0.064004096,0.063492063,0.056338028,0.056349206,0.057142857,0.056338028,0.048192771,0.048780488,0.048701299,0.05,0.049081602,0.042253521,0.045454545,0.041960094,0.035504202,0.034190532,0.030834915,0.025332692,0.027973396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.449503419,0.515327381,0.421428571,0.436447203,0.437938596,0.424216792,0.534855072,0.516195913,0.486071429,0.451612903,0.53125,0.506799769,0.463768116,0.492899937,0.480519481,0.493333333,0.448666667,0.447658228,0.417028523
COD14316,Unknown,0.193360027,0.186553672,0.186699858,0.190826331,0.186970339,0.186243595,0.166666667,0.171428571,0.172380952,0.177328844,0.184480676,0.173548138,0.174978596,0.179104478,0.189924242,0.185812932,0.171733212,0.155870445,0.173919753,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.717857143,0.764270833,0.785789738,0.789473684,0.797297297,0.736379219,0.782608696,0.762996032,0.783173348,0.756097561,0.727410714,0.743979577,0.750347222,0.759493671,0.808333333,0.727272727,0.735267229,0.8,0.80297619
COD14317,Unknown,0.088884509,0.08974359,0.096556317,0.088607595,0.104477612,0.090909091,0.085110664,0.09372549,0.098476103,0.097906886,0.097682871,0.091507177,0.097222222,0.095908408,0.085714286,0.083333333,0.083920188,0.081636431,0.078023539,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.619708995,0.645205479,0.67148104,0.686218487,0.655610022,0.632137185,0.629115942,0.655298913,0.672113924,0.654266553,0.655150685,0.63345614,0.640874933,0.690630346,0.636846672,0.634901108,0.703968254,0.704861111,0.724770187
COD14318,Unknown,0.055175038,0.057983193,0.053333333,0.046511628,0.042857143,0.038218111,0.039736842,0.037974684,0.036149826,0.03750586,0.038461538,0.037974684,0.041674706,0.040540541,0.04027027,0.037974684,0.038461538,0.035294118,0.028778468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.444600939,0.467834101,0.460082348,0.449737027,0.420289855,0.451183608,0.463768116,0.442857143,0.481773212,0.468681994,0.43373494,0.414711331,0.4,0.415584416,0.427988311,0.426829268,0.435897436,0.390243902,0.411764706
COD14319,Unknown,0.053342817,0.0625,0.059262511,0.053333333,0.054444444,0.051290482,0.051948052,0.051282051,0.046875,0.049180328,0.046153846,0.04412719,0.048387097,0.046153846,0.038961039,0.034879032,0.038961039,0.029850746,0.028370221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.367851151,0.37345122,0.449275362,0.403020833,0.403383421,0.344152712,0.319279907,0.358846755,0.380952381,0.304665072,0.328571429,0.258850052,0.334285714,0.341772152,0.343407336,0.34692029,0.337662338,0.333333333,0.351351351
COD14320,Unknown,0.069444444,0.068030359,0.057983193,0.059262511,0.058856114,0.055555556,0.051282051,0.05444664,0.056740443,0.055652174,0.053333333,0.052982456,0.050974026,0.046153846,0.052631579,0.050632911,0.048192771,0.041666667,0.03030303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.461594203,0.446153846,0.443325662,0.427153846,0.415357143,0.436263441,0.441977814,0.449407115,0.421073191,0.419009326,0.428571429,0.444444444,0.463768116,0.450263158,0.493997779,0.447547847,0.465669014,0.492753623,0.392002483
