"StateCode","Population","Regime","Prev_Year2000","Prev_Year2001","Prev_Year2002","Prev_Year2003","Prev_Year2004","Prev_Year2005","Prev_Year2006","Prev_Year2007","Prev_Year2008","Prev_Year2009","Prev_Year2010","Prev_Year2011","Prev_Year2012","Prev_Year2013","Prev_Year2014","Prev_Year2015","Prev_Year2016","Prev_Year2017","Prev_Year2018","Prev_Year2019"
"4790","828220.05826981","No MDA","0.0520125860706493","0.0519223136106903","0.051864275488419","0.0518098852898283","0.0517524796119928","0.0516742457437641","0.0515611927956543","0.0514306225336597","0.0503543662340977","0.0484845285504677","0.046238121189157","0.0433129499203553","0.0346546093355423","0.0248469084645123","0.024363866379239","0.0156627802741613","0.0155582207255235","0.0142480184879125","0.0128154863940805","0.0113632424062217"
"4811","894520.431111824","No MDA","0.0119250392847724","0.0118428159563733","0.0117787940718041","0.0117188837671354","0.011658020190595","0.0115907511431012","0.0115369580911475","0.0114530706660392","0.0112177348285724","0.0107548417525219","0.0101862020653577","0.00947180779852009","0.00866233699081407","0.0078021624722858","0.00698434412619644","0.00624133439962494","0.0055191767517319","0.00476583908568847","0.0041809161756414","0.00363706907036219"
"262","623574.938786753","No MDA","0.00585962624394657","0.00576159744664282","0.00565044434922847","0.00556147758863457","0.0054811017017806","0.005393012109106","0.00527797410613592","0.0051530881657739","0.00497540867850928","0.00472548551896778","0.00442728565985922","0.00418057790094404","0.00387355227736998","0.0035766541562111","0.00325088877660682","0.00294520310881751","0.00265526298641389","0.00228251931871154","0.00227160716444573","0.00216874728401337"
"249","379798.529202187","No MDA","0.00864375368877235","0.00853351116461401","0.00842381008710407","0.00831982467409871","0.00822958875182287","0.008126760202826","0.00798809668749826","0.00786418531151627","0.00764505633639573","0.00728640418721921","0.00692611859371558","0.00658929036638212","0.00619170199962726","0.0057524808058188","0.00531361418215864","0.00488836882836156","0.00448143262840717","0.0040188732641182","0.00389362746001724","0.00369812330984101"
"254","338398.342344306","No MDA","0.0099613419665283","0.00984226553269898","0.00972230348156226","0.00960873429194666","0.00952459248451368","0.00941775975390696","0.00928984324906861","0.00915617979695631","0.00891970134231051","0.00851725660831109","0.00810225847564285","0.00774249721749677","0.00728106819648671","0.00678784764478391","0.00628285002430604","0.00579614021736354","0.00533980854183781","0.0048165414724547","0.00463935695608008","0.00438921657766731"
"4795","911335.193575695","No MDA","0.317093968321897","0.317268223564566","0.317629677519397","0.317938691796964","0.283397836204168","0.270957987257935","0.277751094824905","0.243682802529046","0.186200486144803","0.184384673884429","0.185935989463133","0.18024449532844","0.148815022172037","0.131307206081768","0.127248386329258","0.0785328798851748","0.0606354816888712","0.04047588367152","0.0278258295020917","0.0281019736826407"
"5341","1084938.19535928","No MDA","0.0244249027922562","0.0242837974457049","0.0241757632114178","0.0240668923724936","0.0239552914186401","0.0238391639386065","0.0237109626140225","0.0231451135196809","0.0221279276204056","0.0210354223642825","0.0198683321519518","0.0186939459762972","0.0175894708244023","0.0162854714248367","0.0146723104694267","0.0129744751309262","0.00680611815868721","0.00380499780773202","0.00231190500370338","0.00210990726054383"
"261","305011.866566449","No MDA","0.00965627645308488","0.0095137354641139","0.00937056927375047","0.00923829279583907","0.00913444569765516","0.00900911304680213","0.00886656197861337","0.00870924376538978","0.00845781026419401","0.00807470466890894","0.0076627876336229","0.0073083439661063","0.00684291570752099","0.0063820378371419","0.00587462988606308","0.00539151118421549","0.00493922712601661","0.00440860308447274","0.00427482518834653","0.00406278344680469"
"5338","863965.631312743","No MDA","0.0243670222411613","0.0242232055932233","0.024112149803843","0.0240117712210504","0.0239108681541678","0.0238163685964738","0.0236899772832886","0.0231106194716765","0.0221071076697805","0.0210217265446239","0.0198749727485844","0.0187158246214486","0.0176371053073008","0.0163273074549269","0.0147131599193425","0.0130236977376573","0.0103101040452525","0.00841739305931553","0.00713499348377771","0.00625046600637022"
"259","172791.933275398","No MDA","0.00488984500904926","0.00486319297308475","0.0048439470593717","0.0048295773391666","0.0047904098545446","0.0047542111035534","0.00471387330587604","0.00469851371684604","0.00458411229834866","0.00442414525308009","0.00422607907395491","0.00406409727597288","0.00387471436463346","0.0036811597840706","0.00346214384344718","0.00326097226464016","0.0030137908085498","0.00282366106734935","0.0026807316251169","0.00254047929816281"
